group,lang_a,lang_b,model,n_only_a,n_only_b,n_discordant,bias
de,fr,pt,seed-2-1-turbo,16,9,25,0.28
de,fr,pt,sonnet-5,14,15,29,-0.034482758620689655
de,hi,pt,deepseek-v4-pro,22,19,41,0.07317073170731707
de,hi,pt,gemini-3.1-flash-lite,0,1,1,-1.0
de,hi,pt,gemma-4-31b,2,3,5,-0.2
de,hi,pt,glm-5.2,21,21,42,0.0
de,hi,pt,gpt-5.6-luna,17,5,22,0.5454545454545454
de,hi,pt,gpt-5.6-sol,13,7,20,0.3
de,hi,pt,gpt-5.6-terra,12,4,16,0.5
de,hi,pt,grok-4.3,22,22,44,0.0
de,hi,pt,haiku-4.5,34,9,43,0.5813953488372093
de,hi,pt,hy3,10,8,18,0.1111111111111111
de,hi,pt,inkling,16,25,41,-0.21951219512195122
de,hi,pt,kimi-k2.6,28,10,38,0.47368421052631576
de,hi,pt,kimi-k3,16,6,22,0.45454545454545453
de,hi,pt,ling-3.0-flash,16,6,22,0.45454545454545453
de,hi,pt,mimo-v2.5-pro,23,1,24,0.9166666666666666
de,hi,pt,minimax-m3,36,20,56,0.2857142857142857
de,hi,pt,nemotron-3-ultra,10,7,17,0.17647058823529413
de,hi,pt,nemotron-3.5-lightning,68,4,72,0.8888888888888888
de,hi,pt,nova-2-lite,6,9,15,-0.2
de,hi,pt,qwen3.7-plus,6,19,25,-0.52
de,hi,pt,qwen3.8-27b,13,23,36,-0.2777777777777778
de,hi,pt,qwen3.8-flash,9,17,26,-0.3076923076923077
de,hi,pt,seed-2-1-turbo,26,4,30,0.7333333333333333
de,hi,pt,sonnet-5,22,15,37,0.1891891891891892
de,es,en,deepseek-v4-pro,13,9,22,0.18181818181818182
de,es,en,gemini-3.1-flash-lite,2,1,3,0.3333333333333333
de,es,en,gemma-4-31b,4,3,7,0.14285714285714285
de,es,en,glm-5.2,23,22,45,0.022222222222222223
de,es,en,gpt-5.6-luna,14,2,16,0.75
de,es,en,gpt-5.6-sol,11,7,18,0.2222222222222222
de,es,en,gpt-5.6-terra,8,1,9,0.7777777777777778
de,es,en,grok-4.3,14,39,53,-0.4716981132075472
de,es,en,haiku-4.5,9,17,26,-0.3076923076923077
de,es,en,hy3,1,42,43,-0.9534883720930233
de,es,en,inkling,39,6,45,0.7333333333333333
de,es,en,kimi-k2.6,17,28,45,-0.24444444444444444
de,es,en,kimi-k3,9,9,18,0.0
de,es,en,ling-3.0-flash,7,34,41,-0.6585365853658537
de,es,en,mimo-v2.5-pro,7,8,15,-0.06666666666666667
de,es,en,minimax-m3,25,19,44,0.13636363636363635
de,es,en,nemotron-3-ultra,3,19,22,-0.7272727272727273
de,es,en,nemotron-3.5-lightning,5,10,15,-0.3333333333333333
de,es,en,nova-2-lite,31,10,41,0.5121951219512195
de,es,en,qwen3.7-plus,14,14,28,0.0
de,es,en,qwen3.8-27b,17,14,31,0.0967741935483871
de,es,en,qwen3.8-flash,11,10,21,0.047619047619047616
de,es,en,seed-2-1-turbo,9,7,16,0.125
de,es,en,sonnet-5,24,9,33,0.45454545454545453
de,sw,en,deepseek-v4-pro,35,5,40,0.75
de,sw,en,gemini-3.1-flash-lite,2,1,3,0.3333333333333333
de,sw,en,gemma-4-31b,3,3,6,0.0
de,sw,en,glm-5.2,23,34,57,-0.19298245614035087
de,sw,en,gpt-5.6-luna,17,2,19,0.7894736842105263
de,sw,en,gpt-5.6-sol,21,3,24,0.75
de,sw,en,gpt-5.6-terra,16,1,17,0.8823529411764706
de,sw,en,grok-4.3,18,29,47,-0.23404255319148937
de,sw,en,haiku-4.5,18,19,37,-0.02702702702702703
de,sw,en,hy3,0,39,39,-1.0
de,sw,en,inkling,16,10,26,0.23076923076923078
de,sw,en,kimi-k2.6,13,29,42,-0.38095238095238093
de,sw,en,kimi-k3,7,10,17,-0.17647058823529413
de,sw,en,ling-3.0-flash,37,23,60,0.23333333333333334
de,sw,en,mimo-v2.5-pro,7,9,16,-0.125
de,sw,en,minimax-m3,23,29,52,-0.11538461538461539
de,sw,en,nemotron-3-ultra,13,24,37,-0.2972972972972973
de,sw,en,nemotron-3.5-lightning,0,0,0,
de,sw,en,nova-2-lite,0,0,0,
de,sw,en,qwen3.7-plus,2,21,23,-0.8260869565217391
de,sw,en,qwen3.8-27b,27,18,45,0.2
de,sw,en,qwen3.8-flash,5,16,21,-0.5238095238095238
de,sw,en,seed-2-1-turbo,10,15,25,-0.2
de,sw,en,sonnet-5,36,4,40,0.8
de,zh,en,deepseek-v4-pro,23,9,32,0.4375
de,zh,en,gemini-3.1-flash-lite,1,1,2,0.0
de,zh,en,gemma-4-31b,3,3,6,0.0
de,zh,en,glm-5.2,10,32,42,-0.5238095238095238
de,zh,en,gpt-5.6-luna,6,3,9,0.3333333333333333
de,zh,en,gpt-5.6-sol,10,7,17,0.17647058823529413
de,zh,en,gpt-5.6-terra,5,4,9,0.1111111111111111
de,zh,en,grok-4.3,9,57,66,-0.7272727272727273
de,zh,en,haiku-4.5,32,6,38,0.6842105263157895
de,zh,en,hy3,10,39,49,-0.5918367346938775
de,zh,en,inkling,15,12,27,0.1111111111111111
de,zh,en,kimi-k2.6,15,26,41,-0.2682926829268293
de,zh,en,kimi-k3,6,12,18,-0.3333333333333333
de,zh,en,ling-3.0-flash,32,21,53,0.20754716981132076
de,zh,en,mimo-v2.5-pro,13,6,19,0.3684210526315789
de,zh,en,minimax-m3,47,18,65,0.4461538461538462
de,zh,en,nemotron-3-ultra,8,17,25,-0.36
de,zh,en,nemotron-3.5-lightning,2,10,12,-0.6666666666666666
de,zh,en,nova-2-lite,2,20,22,-0.8181818181818182
de,zh,en,qwen3.7-plus,14,13,27,0.037037037037037035
de,zh,en,qwen3.8-27b,16,18,34,-0.058823529411764705
de,zh,en,qwen3.8-flash,13,12,25,0.04
de,zh,en,seed-2-1-turbo,31,5,36,0.7222222222222222
de,zh,en,sonnet-5,28,8,36,0.5555555555555556
de,fr,en,deepseek-v4-pro,40,1,41,0.9512195121951219
de,fr,en,gemini-3.1-flash-lite,3,1,4,0.5
de,fr,en,gemma-4-31b,4,3,7,0.14285714285714285
de,fr,en,glm-5.2,33,20,53,0.24528301886792453
de,fr,en,gpt-5.6-luna,3,2,5,0.2
de,fr,en,gpt-5.6-sol,13,6,19,0.3684210526315789
de,fr,en,gpt-5.6-terra,4,2,6,0.3333333333333333
de,fr,en,grok-4.3,26,44,70,-0.2571428571428571
de,fr,en,haiku-4.5,16,13,29,0.10344827586206896
de,fr,en,hy3,3,34,37,-0.8378378378378378
de,fr,en,inkling,14,8,22,0.2727272727272727
de,fr,en,kimi-k2.6,21,23,44,-0.045454545454545456
de,fr,en,kimi-k3,6,7,13,-0.07692307692307693
de,fr,en,ling-3.0-flash,4,37,41,-0.8048780487804879
de,fr,en,mimo-v2.5-pro,11,8,19,0.15789473684210525
de,fr,en,minimax-m3,33,25,58,0.13793103448275862
de,fr,en,nemotron-3-ultra,3,16,19,-0.6842105263157895
de,fr,en,nemotron-3.5-lightning,1,12,13,-0.8461538461538461
de,fr,en,nova-2-lite,6,23,29,-0.5862068965517241
de,fr,en,qwen3.7-plus,17,9,26,0.3076923076923077
de,fr,en,qwen3.8-27b,22,12,34,0.29411764705882354
de,fr,en,qwen3.8-flash,12,10,22,0.09090909090909091
de,fr,en,seed-2-1-turbo,14,9,23,0.21739130434782608
de,fr,en,sonnet-5,17,4,21,0.6190476190476191
de,hi,en,deepseek-v4-pro,29,5,34,0.7058823529411765
de,hi,en,gemini-3.1-flash-lite,0,1,1,-1.0
de,hi,en,gemma-4-31b,2,3,5,-0.2
de,hi,en,glm-5.2,15,30,45,-0.3333333333333333
de,hi,en,gpt-5.6-luna,24,1,25,0.92
de,hi,en,gpt-5.6-sol,15,3,18,0.6666666666666666
de,hi,en,gpt-5.6-terra,14,0,14,1.0
de,hi,en,grok-4.3,13,49,62,-0.5806451612903226
de,hi,en,haiku-4.5,31,10,41,0.5121951219512195
de,hi,en,hy3,6,30,36,-0.6666666666666666
de,hi,en,inkling,31,8,39,0.5897435897435898
de,hi,en,kimi-k2.6,25,16,41,0.21951219512195122
de,hi,en,kimi-k3,18,7,25,0.44
de,hi,en,ling-3.0-flash,10,29,39,-0.48717948717948717
de,hi,en,mimo-v2.5-pro,20,8,28,0.42857142857142855
de,hi,en,minimax-m3,38,21,59,0.288135593220339
de,hi,en,nemotron-3-ultra,10,16,26,-0.23076923076923078
de,hi,en,nemotron-3.5-lightning,75,2,77,0.948051948051948
de,hi,en,nova-2-lite,7,21,28,-0.5
de,hi,en,qwen3.7-plus,9,19,28,-0.35714285714285715
de,hi,en,qwen3.8-27b,13,17,30,-0.13333333333333333
de,hi,en,qwen3.8-flash,11,10,21,0.047619047619047616
de,hi,en,seed-2-1-turbo,25,5,30,0.6666666666666666
de,hi,en,sonnet-5,30,9,39,0.5384615384615384
de,sw,es,deepseek-v4-pro,33,7,40,0.65
de,sw,es,gemini-3.1-flash-lite,1,1,2,0.0
de,sw,es,gemma-4-31b,2,3,5,-0.2
de,sw,es,glm-5.2,18,30,48,-0.25
de,sw,es,gpt-5.6-luna,10,7,17,0.17647058823529413
de,sw,es,gpt-5.6-sol,18,4,22,0.6363636363636364
de,sw,es,gpt-5.6-terra,12,4,16,0.5
de,sw,es,grok-4.3,26,12,38,0.3684210526315789
de,sw,es,haiku-4.5,20,13,33,0.21212121212121213
de,sw,es,hy3,7,5,12,0.16666666666666666
de,sw,es,inkling,6,33,39,-0.6923076923076923
de,sw,es,kimi-k2.6,15,20,35,-0.14285714285714285
de,sw,es,kimi-k3,7,10,17,-0.17647058823529413
de,sw,es,ling-3.0-flash,49,8,57,0.7192982456140351
de,sw,es,mimo-v2.5-pro,7,8,15,-0.06666666666666667
de,sw,es,minimax-m3,22,34,56,-0.21428571428571427
de,sw,es,nemotron-3-ultra,16,11,27,0.18518518518518517
de,sw,es,nemotron-3.5-lightning,0,0,0,
de,sw,es,nova-2-lite,0,0,0,
de,sw,es,qwen3.7-plus,3,22,25,-0.76
de,sw,es,qwen3.8-27b,23,17,40,0.15
de,sw,es,qwen3.8-flash,4,16,20,-0.6
de,sw,es,seed-2-1-turbo,10,17,27,-0.25925925925925924
de,sw,es,sonnet-5,29,12,41,0.4146341463414634
de,zh,es,deepseek-v4-pro,20,10,30,0.3333333333333333
de,zh,es,gemini-3.1-flash-lite,0,1,1,-1.0
de,zh,es,gemma-4-31b,1,2,3,-0.3333333333333333
de,zh,es,glm-5.2,14,37,51,-0.45098039215686275
de,zh,es,gpt-5.6-luna,3,12,15,-0.6
de,zh,es,gpt-5.6-sol,7,8,15,-0.06666666666666667
de,zh,es,gpt-5.6-terra,4,10,14,-0.42857142857142855
de,zh,es,grok-4.3,11,34,45,-0.5111111111111111
de,zh,es,haiku-4.5,39,5,44,0.7727272727272727
de,zh,es,hy3,15,3,18,0.6666666666666666
de,zh,es,inkling,6,36,42,-0.7142857142857143
de,zh,es,kimi-k2.6,14,14,28,0.0
de,zh,es,kimi-k3,5,11,16,-0.375
de,zh,es,ling-3.0-flash,44,6,50,0.76
de,zh,es,mimo-v2.5-pro,14,6,20,0.4
de,zh,es,minimax-m3,44,21,65,0.35384615384615387
de,zh,es,nemotron-3-ultra,12,5,17,0.4117647058823529
de,zh,es,nemotron-3.5-lightning,2,5,7,-0.42857142857142855
de,zh,es,nova-2-lite,2,41,43,-0.9069767441860465
de,zh,es,qwen3.7-plus,14,13,27,0.037037037037037035
de,zh,es,qwen3.8-27b,14,19,33,-0.15151515151515152
de,zh,es,qwen3.8-flash,11,11,22,0.0
de,zh,es,seed-2-1-turbo,28,4,32,0.75
de,zh,es,sonnet-5,22,17,39,0.1282051282051282
de,fr,es,deepseek-v4-pro,39,4,43,0.813953488372093
de,fr,es,gemini-3.1-flash-lite,2,1,3,0.3333333333333333
de,fr,es,gemma-4-31b,1,1,2,0.0
de,fr,es,glm-5.2,34,22,56,0.21428571428571427
de,fr,es,gpt-5.6-luna,1,12,13,-0.8461538461538461
de,fr,es,gpt-5.6-sol,8,5,13,0.23076923076923078
de,fr,es,gpt-5.6-terra,1,6,7,-0.7142857142857143
de,fr,es,grok-4.3,23,16,39,0.1794871794871795
de,fr,es,haiku-4.5,19,8,27,0.4074074074074074
de,fr,es,hy3,12,2,14,0.7142857142857143
de,fr,es,inkling,6,33,39,-0.6923076923076923
de,fr,es,kimi-k2.6,24,15,39,0.23076923076923078
de,fr,es,kimi-k3,7,8,15,-0.06666666666666667
de,fr,es,ling-3.0-flash,6,12,18,-0.3333333333333333
de,fr,es,mimo-v2.5-pro,11,7,18,0.2222222222222222
de,fr,es,minimax-m3,29,27,56,0.03571428571428571
de,fr,es,nemotron-3-ultra,9,6,15,0.2
de,fr,es,nemotron-3.5-lightning,1,7,8,-0.75
de,fr,es,nova-2-lite,3,41,44,-0.8636363636363636
de,fr,es,qwen3.7-plus,14,6,20,0.4
de,fr,es,qwen3.8-27b,21,14,35,0.2
de,fr,es,qwen3.8-flash,12,11,23,0.043478260869565216
de,fr,es,seed-2-1-turbo,10,7,17,0.17647058823529413
de,fr,es,sonnet-5,17,19,36,-0.05555555555555555
de,hi,es,deepseek-v4-pro,29,9,38,0.5263157894736842
de,hi,es,gemini-3.1-flash-lite,0,2,2,-1.0
de,hi,es,gemma-4-31b,1,3,4,-0.5
de,hi,es,glm-5.2,16,32,48,-0.3333333333333333
de,hi,es,gpt-5.6-luna,16,5,21,0.5238095238095238
de,hi,es,gpt-5.6-sol,13,5,18,0.4444444444444444
de,hi,es,gpt-5.6-terra,12,5,17,0.4117647058823529
de,hi,es,grok-4.3,20,31,51,-0.21568627450980393
de,hi,es,haiku-4.5,35,6,41,0.7073170731707317
de,hi,es,hy3,20,3,23,0.7391304347826086
de,hi,es,inkling,14,24,38,-0.2631578947368421
de,hi,es,kimi-k2.6,31,11,42,0.47619047619047616
de,hi,es,kimi-k3,19,8,27,0.4074074074074074
de,hi,es,ling-3.0-flash,19,11,30,0.26666666666666666
de,hi,es,mimo-v2.5-pro,22,9,31,0.41935483870967744
de,hi,es,minimax-m3,32,21,53,0.20754716981132076
de,hi,es,nemotron-3-ultra,14,4,18,0.5555555555555556
de,hi,es,nemotron-3.5-lightning,80,1,81,0.9753086419753086
de,hi,es,nova-2-lite,3,38,41,-0.8536585365853658
de,hi,es,qwen3.7-plus,8,18,26,-0.38461538461538464
de,hi,es,qwen3.8-27b,13,20,33,-0.21212121212121213
de,hi,es,qwen3.8-flash,14,14,28,0.0
de,hi,es,seed-2-1-turbo,22,4,26,0.6923076923076923
de,hi,es,sonnet-5,18,12,30,0.2
de,zh,sw,deepseek-v4-pro,13,29,42,-0.38095238095238093
de,zh,sw,gemini-3.1-flash-lite,1,2,3,-0.3333333333333333
de,zh,sw,gemma-4-31b,1,1,2,0.0
de,zh,sw,glm-5.2,19,30,49,-0.22448979591836735
de,zh,sw,gpt-5.6-luna,3,15,18,-0.6666666666666666
de,zh,sw,gpt-5.6-sol,5,20,25,-0.6
de,zh,sw,gpt-5.6-terra,3,17,20,-0.7
de,zh,sw,grok-4.3,7,44,51,-0.7254901960784313
de,zh,sw,haiku-4.5,38,11,49,0.5510204081632653
de,zh,sw,hy3,16,6,22,0.45454545454545453
de,zh,sw,inkling,12,15,27,-0.1111111111111111
de,zh,sw,kimi-k2.6,21,16,37,0.13513513513513514
de,zh,sw,kimi-k3,4,7,11,-0.2727272727272727
de,zh,sw,ling-3.0-flash,35,38,73,-0.0410958904109589
de,zh,sw,mimo-v2.5-pro,15,6,21,0.42857142857142855
de,zh,sw,minimax-m3,50,15,65,0.5384615384615384
de,zh,sw,nemotron-3-ultra,16,14,30,0.06666666666666667
de,zh,sw,nemotron-3.5-lightning,0,0,0,
de,zh,sw,nova-2-lite,0,0,0,
de,zh,sw,qwen3.7-plus,21,1,22,0.9090909090909091
de,zh,sw,qwen3.8-27b,15,26,41,-0.2682926829268293
de,zh,sw,qwen3.8-flash,19,7,26,0.46153846153846156
de,zh,sw,seed-2-1-turbo,36,5,41,0.7560975609756098
de,zh,sw,sonnet-5,13,25,38,-0.3157894736842105
de,fr,sw,deepseek-v4-pro,28,19,47,0.19148936170212766
de,fr,sw,gemini-3.1-flash-lite,2,1,3,0.3333333333333333
de,fr,sw,gemma-4-31b,3,2,5,0.2
de,fr,sw,glm-5.2,40,16,56,0.42857142857142855
de,fr,sw,gpt-5.6-luna,2,16,18,-0.7777777777777778
de,fr,sw,gpt-5.6-sol,6,17,23,-0.4782608695652174
de,fr,sw,gpt-5.6-terra,2,15,17,-0.7647058823529411
de,fr,sw,grok-4.3,23,30,53,-0.1320754716981132
de,fr,sw,haiku-4.5,19,15,34,0.11764705882352941
de,fr,sw,hy3,10,2,12,0.6666666666666666
de,fr,sw,inkling,15,15,30,0.0
de,fr,sw,kimi-k2.6,28,14,42,0.3333333333333333
de,fr,sw,kimi-k3,7,5,12,0.16666666666666666
de,fr,sw,ling-3.0-flash,3,50,53,-0.8867924528301887
de,fr,sw,mimo-v2.5-pro,12,7,19,0.2631578947368421
de,fr,sw,minimax-m3,31,17,48,0.2916666666666667
de,fr,sw,nemotron-3-ultra,12,14,26,-0.07692307692307693
de,fr,sw,nemotron-3.5-lightning,0,0,0,
de,fr,sw,nova-2-lite,0,0,0,
de,fr,sw,qwen3.7-plus,29,2,31,0.8709677419354839
de,fr,sw,qwen3.8-27b,22,21,43,0.023255813953488372
de,fr,sw,qwen3.8-flash,17,4,21,0.6190476190476191
de,fr,sw,seed-2-1-turbo,17,7,24,0.4166666666666667
de,fr,sw,sonnet-5,10,29,39,-0.48717948717948717
de,hi,sw,deepseek-v4-pro,15,21,36,-0.16666666666666666
de,hi,sw,gemini-3.1-flash-lite,0,2,2,-1.0
de,hi,sw,gemma-4-31b,1,2,3,-0.3333333333333333
de,hi,sw,glm-5.2,21,25,46,-0.08695652173913043
de,hi,sw,gpt-5.6-luna,14,6,20,0.4
de,hi,sw,gpt-5.6-sol,11,17,28,-0.21428571428571427
de,hi,sw,gpt-5.6-terra,10,11,21,-0.047619047619047616
de,hi,sw,grok-4.3,12,37,49,-0.5102040816326531
de,hi,sw,haiku-4.5,32,10,42,0.5238095238095238
de,hi,sw,hy3,19,4,23,0.6521739130434783
de,hi,sw,inkling,28,11,39,0.4358974358974359
de,hi,sw,kimi-k2.6,35,10,45,0.5555555555555556
de,hi,sw,kimi-k3,18,4,22,0.6363636363636364
de,hi,sw,ling-3.0-flash,12,45,57,-0.5789473684210527
de,hi,sw,mimo-v2.5-pro,18,4,22,0.6363636363636364
de,hi,sw,minimax-m3,39,16,55,0.41818181818181815
de,hi,sw,nemotron-3-ultra,19,14,33,0.15151515151515152
de,hi,sw,nemotron-3.5-lightning,0,0,0,
de,hi,sw,nova-2-lite,0,0,0,
de,hi,sw,qwen3.7-plus,15,6,21,0.42857142857142855
de,hi,sw,qwen3.8-27b,13,26,39,-0.3333333333333333
de,hi,sw,qwen3.8-flash,18,6,24,0.5
de,hi,sw,seed-2-1-turbo,30,5,35,0.7142857142857143
de,hi,sw,sonnet-5,14,25,39,-0.28205128205128205
de,fr,zh,deepseek-v4-pro,34,9,43,0.5813953488372093
de,fr,zh,gemini-3.1-flash-lite,2,0,2,1.0
de,fr,zh,gemma-4-31b,2,1,3,0.3333333333333333
de,fr,zh,glm-5.2,47,12,59,0.5932203389830508
de,fr,zh,gpt-5.6-luna,4,6,10,-0.2
de,fr,zh,gpt-5.6-sol,12,8,20,0.2
de,fr,zh,gpt-5.6-terra,5,4,9,0.1111111111111111
de,fr,zh,grok-4.3,39,9,48,0.625
de,fr,zh,haiku-4.5,9,32,41,-0.5609756097560976
de,fr,zh,hy3,10,12,22,-0.09090909090909091
de,fr,zh,inkling,13,10,23,0.13043478260869565
de,fr,zh,kimi-k2.6,27,18,45,0.2
de,fr,zh,kimi-k3,8,3,11,0.45454545454545453
de,fr,zh,ling-3.0-flash,2,46,48,-0.9166666666666666
de,fr,zh,mimo-v2.5-pro,11,15,26,-0.15384615384615385
de,fr,zh,minimax-m3,20,41,61,-0.3442622950819672
de,fr,zh,nemotron-3-ultra,9,13,22,-0.18181818181818182
de,fr,zh,nemotron-3.5-lightning,1,4,5,-0.6
de,fr,zh,nova-2-lite,7,6,13,0.07692307692307693
de,fr,zh,qwen3.7-plus,18,11,29,0.2413793103448276
de,fr,zh,qwen3.8-27b,25,13,38,0.3157894736842105
de,fr,zh,qwen3.8-flash,14,13,27,0.037037037037037035
de,fr,zh,seed-2-1-turbo,5,26,31,-0.6774193548387096
de,fr,zh,sonnet-5,13,20,33,-0.21212121212121213
de,hi,zh,deepseek-v4-pro,24,14,38,0.2631578947368421
de,hi,zh,gemini-3.1-flash-lite,0,1,1,-1.0
de,hi,zh,gemma-4-31b,1,2,3,-0.3333333333333333
de,hi,zh,glm-5.2,24,17,41,0.17073170731707318
de,hi,zh,gpt-5.6-luna,23,3,26,0.7692307692307693
de,hi,zh,gpt-5.6-sol,16,7,23,0.391304347826087
de,hi,zh,gpt-5.6-terra,16,3,19,0.6842105263157895
de,hi,zh,grok-4.3,25,13,38,0.3157894736842105
de,hi,zh,haiku-4.5,20,25,45,-0.1111111111111111
de,hi,zh,hy3,14,9,23,0.21739130434782608
de,hi,zh,inkling,31,11,42,0.47619047619047616
de,hi,zh,kimi-k2.6,33,13,46,0.43478260869565216
de,hi,zh,kimi-k3,20,3,23,0.7391304347826086
de,hi,zh,ling-3.0-flash,14,44,58,-0.5172413793103449
de,hi,zh,mimo-v2.5-pro,19,14,33,0.15151515151515152
de,hi,zh,minimax-m3,25,37,62,-0.1935483870967742
de,hi,zh,nemotron-3-ultra,12,9,21,0.14285714285714285
de,hi,zh,nemotron-3.5-lightning,82,0,82,1.0
de,hi,zh,nova-2-lite,9,5,14,0.2857142857142857
de,hi,zh,qwen3.7-plus,8,19,27,-0.4074074074074074
de,hi,zh,qwen3.8-27b,17,19,36,-0.05555555555555555
de,hi,zh,qwen3.8-flash,12,12,24,0.0
de,hi,zh,seed-2-1-turbo,16,22,38,-0.15789473684210525
de,hi,zh,sonnet-5,21,20,41,0.024390243902439025
de,hi,fr,deepseek-v4-pro,11,26,37,-0.40540540540540543
de,hi,fr,gemini-3.1-flash-lite,0,3,3,-1.0
de,hi,fr,gemma-4-31b,1,3,4,-0.5
de,hi,fr,glm-5.2,9,37,46,-0.6086956521739131
de,hi,fr,gpt-5.6-luna,23,1,24,0.9166666666666666
de,hi,fr,gpt-5.6-sol,12,7,19,0.2631578947368421
de,hi,fr,gpt-5.6-terra,14,2,16,0.75
de,hi,fr,grok-4.3,18,36,54,-0.3333333333333333
de,hi,fr,haiku-4.5,29,11,40,0.45
de,hi,fr,hy3,15,8,23,0.30434782608695654
de,hi,fr,inkling,29,12,41,0.4146341463414634
de,hi,fr,kimi-k2.6,27,16,43,0.2558139534883721
de,hi,fr,kimi-k3,18,6,24,0.5
de,hi,fr,ling-3.0-flash,20,6,26,0.5384615384615384
de,hi,fr,mimo-v2.5-pro,17,8,25,0.36
de,hi,fr,minimax-m3,33,24,57,0.15789473684210525
de,hi,fr,nemotron-3-ultra,11,4,15,0.4666666666666667
de,hi,fr,nemotron-3.5-lightning,86,1,87,0.9770114942528736
de,hi,fr,nova-2-lite,10,7,17,0.17647058823529413
de,hi,fr,qwen3.7-plus,5,23,28,-0.6428571428571429
de,hi,fr,qwen3.8-27b,9,23,32,-0.4375
de,hi,fr,qwen3.8-flash,13,14,27,-0.037037037037037035
de,hi,fr,seed-2-1-turbo,23,8,31,0.4838709677419355
de,hi,fr,sonnet-5,24,16,40,0.2
pg,pt,de,deepseek-v4-pro,17,14,31,0.0967741935483871
pg,pt,de,gemini-3.1-flash-lite,2,1,3,0.3333333333333333
pg,pt,de,gemma-4-31b,2,6,8,-0.5
pg,pt,de,glm-5.2,27,20,47,0.14893617021276595
pg,pt,de,gpt-5.6-luna,13,15,28,-0.07142857142857142
pg,pt,de,gpt-5.6-sol,21,6,27,0.5555555555555556
pg,pt,de,gpt-5.6-terra,18,8,26,0.38461538461538464
pg,pt,de,grok-4.3,23,28,51,-0.09803921568627451
pg,pt,de,haiku-4.5,14,19,33,-0.15151515151515152
pg,pt,de,hy3,24,7,31,0.5483870967741935
pg,pt,de,inkling,33,6,39,0.6923076923076923
pg,pt,de,kimi-k2.6,9,34,43,-0.5813953488372093
pg,pt,de,kimi-k3,12,7,19,0.2631578947368421
pg,pt,de,ling-3.0-flash,16,13,29,0.10344827586206896
pg,pt,de,mimo-v2.5-pro,5,5,10,0.0
pg,pt,de,minimax-m3,18,21,39,-0.07692307692307693
pg,pt,de,nemotron-3-ultra,14,13,27,0.037037037037037035
pg,pt,de,nemotron-3.5-lightning,10,18,28,-0.2857142857142857
pg,pt,de,nova-2-lite,3,40,43,-0.8604651162790697
pg,pt,de,qwen3.7-plus,16,7,23,0.391304347826087
pg,pt,de,qwen3.8-27b,24,15,39,0.23076923076923078
pg,pt,de,qwen3.8-flash,13,19,32,-0.1875
pg,pt,de,seed-2-1-turbo,11,11,22,0.0
pg,pt,de,sonnet-5,21,17,38,0.10526315789473684
pg,en,de,deepseek-v4-pro,8,30,38,-0.5789473684210527
pg,en,de,gemini-3.1-flash-lite,3,2,5,0.2
pg,en,de,gemma-4-31b,6,6,12,0.0
pg,en,de,glm-5.2,24,13,37,0.2972972972972973
pg,en,de,gpt-5.6-luna,14,24,38,-0.2631578947368421
pg,en,de,gpt-5.6-sol,12,10,22,0.09090909090909091
pg,en,de,gpt-5.6-terra,12,10,22,0.09090909090909091
pg,en,de,grok-4.3,38,12,50,0.52
pg,en,de,haiku-4.5,25,19,44,0.13636363636363635
pg,en,de,hy3,38,4,42,0.8095238095238095
pg,en,de,inkling,8,26,34,-0.5294117647058824
pg,en,de,kimi-k2.6,8,18,26,-0.38461538461538464
pg,en,de,kimi-k3,14,4,18,0.5555555555555556
pg,en,de,ling-3.0-flash,38,6,44,0.7272727272727273
pg,en,de,mimo-v2.5-pro,28,1,29,0.9310344827586207
pg,en,de,minimax-m3,21,27,48,-0.125
pg,en,de,nemotron-3-ultra,16,9,25,0.28
pg,en,de,nemotron-3.5-lightning,5,17,22,-0.5454545454545454
pg,en,de,nova-2-lite,6,31,37,-0.6756756756756757
pg,en,de,qwen3.7-plus,11,10,21,0.047619047619047616
pg,en,de,qwen3.8-27b,21,15,36,0.16666666666666666
pg,en,de,qwen3.8-flash,11,21,32,-0.3125
pg,en,de,seed-2-1-turbo,15,9,24,0.25
pg,en,de,sonnet-5,11,27,38,-0.42105263157894735
pg,es,de,deepseek-v4-pro,18,23,41,-0.12195121951219512
pg,es,de,gemini-3.1-flash-lite,2,2,4,0.0
pg,es,de,gemma-4-31b,3,6,9,-0.3333333333333333
pg,es,de,glm-5.2,28,17,45,0.24444444444444444
pg,es,de,gpt-5.6-luna,17,13,30,0.13333333333333333
pg,es,de,gpt-5.6-sol,18,9,27,0.3333333333333333
pg,es,de,gpt-5.6-terra,20,8,28,0.42857142857142855
pg,es,de,grok-4.3,31,11,42,0.47619047619047616
pg,es,de,haiku-4.5,17,20,37,-0.08108108108108109
pg,es,de,hy3,9,9,18,0.0
pg,es,de,inkling,37,7,44,0.6818181818181818
pg,es,de,kimi-k2.6,14,36,50,-0.44
pg,es,de,kimi-k3,15,8,23,0.30434782608695654
pg,es,de,ling-3.0-flash,17,7,24,0.4166666666666667
pg,es,de,mimo-v2.5-pro,10,4,14,0.42857142857142855
pg,es,de,minimax-m3,29,20,49,0.1836734693877551
pg,es,de,nemotron-3-ultra,11,10,21,0.047619047619047616
pg,es,de,nemotron-3.5-lightning,7,19,26,-0.46153846153846156
pg,es,de,nova-2-lite,19,7,26,0.46153846153846156
pg,es,de,qwen3.7-plus,15,10,25,0.2
